Experiment_ID,In_Train_Set,In_Val_Set,Fold,Train_Count,Val_Count
Experiment-100,True,False,3,32271,0
Experiment-101,True,False,3,14290,0
Experiment-102,True,False,3,17012,0
Experiment-105,False,True,3,0,24273
Experiment-108,False,True,3,0,22129
Experiment-67,True,False,3,31661,0
Experiment-671,True,False,3,2080,0
Experiment-6710,True,False,3,1857,0
Experiment-6711,False,True,3,0,1643
Experiment-6712,True,False,3,1568,0
Experiment-6713,True,False,3,505,0
Experiment-6714,True,False,3,1825,0
Experiment-6715,True,False,3,1651,0
Experiment-6716,True,False,3,133,0
Experiment-6717,True,False,3,2186,0
Experiment-672,True,False,3,1845,0
Experiment-673,True,False,3,942,0
Experiment-674,True,False,3,803,0
Experiment-675,True,False,3,2347,0
Experiment-676,True,False,3,1891,0
Experiment-677,True,False,3,1101,0
Experiment-678,True,False,3,1314,0
Experiment-679,True,False,3,118,0
Experiment-68,True,False,3,40782,0
Experiment-88,True,False,3,19328,0
Experiment-91,True,False,3,18559,0
Experiment-93,True,False,3,14748,0
Experiment-97,True,False,3,35913,0
Experiment-99,True,False,3,10695,0
Lm_449818_20x_13_03_2019,True,False,3,22312,0
Lm_456061_20x_25_04_2019,True,False,3,20463,0
Lm_462218_20x_14_03_2019,False,True,3,0,30144
Snap-151,True,False,3,16536,0
