Experiment_ID,In_Train_Set,In_Val_Set,Fold,Train_Count,Val_Count
Experiment-100,True,False,2,32271,0
Experiment-101,True,False,2,14290,0
Experiment-102,True,False,2,17012,0
Experiment-105,True,False,2,24273,0
Experiment-108,True,False,2,22129,0
Experiment-67,True,False,2,31661,0
Experiment-671,True,False,2,2080,0
Experiment-6710,True,False,2,1857,0
Experiment-6711,True,False,2,1643,0
Experiment-6712,True,False,2,1568,0
Experiment-6713,True,False,2,505,0
Experiment-6714,True,False,2,1825,0
Experiment-6715,True,False,2,1651,0
Experiment-6716,True,False,2,133,0
Experiment-6717,True,False,2,2186,0
Experiment-672,True,False,2,1845,0
Experiment-673,True,False,2,942,0
Experiment-674,False,True,2,0,803
Experiment-675,False,True,2,0,2347
Experiment-676,True,False,2,1891,0
Experiment-677,True,False,2,1101,0
Experiment-678,True,False,2,1314,0
Experiment-679,True,False,2,118,0
Experiment-68,True,False,2,40782,0
Experiment-88,True,False,2,19328,0
Experiment-91,False,True,2,0,18559
Experiment-93,True,False,2,14748,0
Experiment-97,False,True,2,0,35913
Experiment-99,True,False,2,10695,0
Lm_449818_20x_13_03_2019,True,False,2,22312,0
Lm_456061_20x_25_04_2019,False,True,2,0,20463
Lm_462218_20x_14_03_2019,True,False,2,30144,0
Snap-151,True,False,2,16536,0
