Experiment_ID,In_Train_Set,In_Val_Set,Fold,Train_Count,Val_Count
Experiment-100,True,False,0,32271,0
Experiment-101,True,False,0,14290,0
Experiment-102,True,False,0,17012,0
Experiment-105,True,False,0,24273,0
Experiment-108,True,False,0,22129,0
Experiment-67,True,False,0,31661,0
Experiment-671,False,True,0,0,2080
Experiment-6710,True,False,0,1857,0
Experiment-6711,True,False,0,1643,0
Experiment-6712,True,False,0,1568,0
Experiment-6713,True,False,0,505,0
Experiment-6714,True,False,0,1825,0
Experiment-6715,True,False,0,1651,0
Experiment-6716,False,True,0,0,133
Experiment-6717,True,False,0,2186,0
Experiment-672,True,False,0,1845,0
Experiment-673,True,False,0,942,0
Experiment-674,True,False,0,803,0
Experiment-675,True,False,0,2347,0
Experiment-676,True,False,0,1891,0
Experiment-677,False,True,0,0,1101
Experiment-678,True,False,0,1314,0
Experiment-679,False,True,0,0,118
Experiment-68,False,True,0,0,40782
Experiment-88,False,True,0,0,19328
Experiment-91,True,False,0,18559,0
Experiment-93,True,False,0,14748,0
Experiment-97,True,False,0,35913,0
Experiment-99,True,False,0,10695,0
Lm_449818_20x_13_03_2019,False,True,0,0,22312
Lm_456061_20x_25_04_2019,True,False,0,20463,0
Lm_462218_20x_14_03_2019,True,False,0,30144,0
Snap-151,True,False,0,16536,0
