Experiment_ID,In_Train_Set,In_Val_Set,Fold,Train_Count,Val_Count
Experiment-100,True,False,1,32271,0
Experiment-101,False,True,1,0,14290
Experiment-102,True,False,1,17012,0
Experiment-105,True,False,1,24273,0
Experiment-108,True,False,1,22129,0
Experiment-67,True,False,1,31661,0
Experiment-671,True,False,1,2080,0
Experiment-6710,False,True,1,0,1857
Experiment-6711,True,False,1,1643,0
Experiment-6712,False,True,1,0,1568
Experiment-6713,False,True,1,0,505
Experiment-6714,True,False,1,1825,0
Experiment-6715,True,False,1,1651,0
Experiment-6716,True,False,1,133,0
Experiment-6717,False,True,1,0,2186
Experiment-672,False,True,1,0,1845
Experiment-673,False,True,1,0,942
Experiment-674,True,False,1,803,0
Experiment-675,True,False,1,2347,0
Experiment-676,False,True,1,0,1891
Experiment-677,True,False,1,1101,0
Experiment-678,False,True,1,0,1314
Experiment-679,True,False,1,118,0
Experiment-68,True,False,1,40782,0
Experiment-88,True,False,1,19328,0
Experiment-91,True,False,1,18559,0
Experiment-93,True,False,1,14748,0
Experiment-97,True,False,1,35913,0
Experiment-99,False,True,1,0,10695
Lm_449818_20x_13_03_2019,True,False,1,22312,0
Lm_456061_20x_25_04_2019,True,False,1,20463,0
Lm_462218_20x_14_03_2019,True,False,1,30144,0
Snap-151,True,False,1,16536,0
